obdA,obdB,cohort,shared,linesA,linesB,windowA,windowB,dateA,dateB,routeA,routeB
9108566098,9108566096,1312,3,3,3,,,,,Ghod Dod,Ghod Dod
9108566098,9108566095,1312,3,3,3,,,,,Ghod Dod,Varachha
9108566097,9108566096,1312,3,3,3,,,,,Ghod Dod,Ghod Dod
9108566097,9108566095,1312,3,3,3,,,,,Ghod Dod,Varachha
9108566096,9108566095,1312,3,3,3,,,,,Ghod Dod,Varachha
9108645108,9108645107,1314,3,3,3,,,,,Varachha,Ghod Dod
9108645108,9108645106,1314,3,3,3,,,,,Varachha,Ghod Dod
9108645108,9108645105,1314,3,3,3,,,,,Varachha,Ghod Dod
9108645108,9108645104,1314,3,3,3,,,,,Varachha,Varachha
9108645107,9108645106,1314,3,3,3,,,,,Ghod Dod,Ghod Dod
9108645107,9108645105,1314,3,3,3,,,,,Ghod Dod,Ghod Dod
9108645107,9108645104,1314,3,3,3,,,,,Ghod Dod,Varachha
9108645106,9108645105,1314,3,3,3,,,,,Ghod Dod,Ghod Dod
9108645106,9108645104,1314,3,3,3,,,,,Ghod Dod,Varachha
9108645105,9108645104,1314,3,3,3,,,,,Ghod Dod,Varachha
9108387781,9108387780,1255,2,2,2,,,,,,
9108360533,9108360531,1035,2,21,10,4,4,2026-07-20,2026-07-20,Navsari,Navsari
9108613938,9108613937,1316,2,9,9,,1,,2026-08-01,Varachha,Adajan
9108864456,9108885542,1762,2,6,12,1,1,2026-08-14,2026-08-14,Ghod Dod,Varachha
9108685439,9108685438,1450,4,19,12,4,3,2026-08-06,2026-08-06,Chikhli,Adajan
9108685442,9108624799,1450,2,19,3,3,3,2026-08-06,2026-08-06,Ghod Dod,No Route
9108868371,9108858713,1717,5,16,5,4,4,2026-08-13,2026-08-13,Kamrej,Kamrej
9108868371,9108853341,1717,2,16,2,4,4,2026-08-13,2026-08-13,Kamrej,Kamrej
9108868371,9108825684,1717,2,16,8,4,4,2026-08-13,2026-08-13,Kamrej,Olpad
9108868371,9108808477,1717,7,16,7,4,4,2026-08-13,2026-08-13,Kamrej,Kamrej
9108858713,9108825684,1717,2,5,8,4,4,2026-08-13,2026-08-13,Kamrej,Olpad
9108750846,9108750843,1562,3,12,16,1,4,2026-08-10,2026-08-08,Udhana,Navsari
9108818348,9108818346,1715,2,3,6,1,1,2026-08-13,2026-08-13,Ghod Dod,Adajan
